filename,sub_class
pantalone_0.png,pantalone formale
pantalone_10.png,pantaloncino
pantalone_1003.png,jeans
pantalone_1021.png,salopette lunga
pantalone_103.png,jeans
pantalone_1035.png,pantaloncino
pantalone_1038.png,salopette lunga
pantalone_104.png,pantalone da ginnastica
pantalone_1048.png,pantaloncino
pantalone_1049.png,pantaloncino
pantalone_105.png,pantalone formale
pantalone_1057.png,jeans
pantalone_106.png,pantalone da ginnastica
pantalone_109.png,jeans
pantalone_1090.png,pantaloncino
pantalone_11.png,pantalone formale
pantalone_110.png,pantalone formale
pantalone_1116.png,salopette lunga
pantalone_112.png,pantalone da ginnastica
pantalone_1128.png,pantaloncino
pantalone_1129.png,pantaloncino
pantalone_113.png,pantalone formale
pantalone_1130.png,salopette corta
pantalone_114.png,pantalone formale
pantalone_115.png,jeans
pantalone_1160.png,pantaloncino
pantalone_1169.png,pantalone da ginnastica
pantalone_117.png,pantalone formale
pantalone_1173.png,pantaloncino
pantalone_1174.png,jeans
pantalone_118.png,pantalone formale
pantalone_1181.png,jeans
pantalone_1196.png,jeans
pantalone_1198.png,pantalone da ginnastica
pantalone_12.png,pantalone formale
pantalone_121.png,pantaloncino
pantalone_1210.png,salopette corta
pantalone_122.png,pantalone formale
pantalone_123.png,jeans
pantalone_124.png,pantalone formale
pantalone_125.png,jeans
pantalone_126.png,jeans
pantalone_127.png,jeans
pantalone_128.png,pantalone da ginnastica
pantalone_13.png,pantalone formale
pantalone_1301.png,salopette corta
pantalone_131.png,pantalone formale
pantalone_132.png,pantaloncino
pantalone_133.png,pantalone formale
pantalone_134.png,pantalone da ginnastica
pantalone_135.png,jeans
pantalone_136.png,pantalone da ginnastica
pantalone_137.png,pantaloncino
pantalone_138.png,pantalone da ginnastica
pantalone_1381.png,pantaloncino
pantalone_139.png,pantalone formale
pantalone_14.png,jeans
pantalone_141.png,pantalone formale
pantalone_142.png,pantalone formale
pantalone_1425.png,jeans
pantalone_1429.png,pantaloncino
pantalone_143.png,pantalone da ginnastica
pantalone_1442.png,pantaloncino
pantalone_1450.png,pantalone da ginnastica
pantalone_146.png,pantalone formale
