filename,sub_class
jeans_14.png,jeans
pantalone_0.png,pantalone formale
pantalone_10.png,pantaloncino
pantalone_1003.png,jeans
pantalone_1021.png,salopette lunga
pantalone_103.png,jeans
pantalone_1035.png,pantaloncino
pantalone_1038.png,salopette lunga
pantalone_104.png,pantalone da ginnastica
pantalone_1048.png,pantaloncino
pantalone_1049.png,pantaloncino
pantalone_105.png,pantalone formale
pantalone_1057.png,jeans
pantalone_106.png,pantalone da ginnastica
pantalone_109.png,jeans
pantalone_1090.png,pantaloncino
pantalone_11.png,pantalone formale
pantalone_110.png,pantalone formale
pantalone_1116.png,salopette lunga
pantalone_112.png,pantalone da ginnastica
pantalone_1128.png,pantaloncino
pantalone_1129.png,pantaloncino
pantalone_113.png,pantalone formale
pantalone_1130.png,salopette corta
pantalone_114.png,pantalone formale
pantalone_115.png,jeans
pantalone_1160.png,pantaloncino
pantalone_1169.png,pantalone da ginnastica
pantalone_117.png,pantalone formale
pantalone_1173.png,pantaloncino
pantalone_1174.png,jeans
pantalone_118.png,pantalone formale
pantalone_1181.png,jeans
pantalone_1196.png,jeans
pantalone_1198.png,pantalone da ginnastica
pantalone_12.png,pantalone formale
pantalone_121.png,pantaloncino
pantalone_1210.png,salopette corta
pantalone_122.png,pantalone formale
pantalone_123.png,jeans
pantalone_124.png,pantalone formale
pantalone_125.png,jeans
pantalone_126.png,jeans
pantalone_127.png,jeans
pantalone_128.png,pantalone da ginnastica
pantalone_13.png,pantalone formale
pantalone_1301.png,salopette corta
pantalone_131.png,pantalone formale
pantalone_132.png,pantaloncino
pantalone_133.png,pantalone formale
pantalone_134.png,pantalone da ginnastica
pantalone_135.png,jeans
pantalone_136.png,pantalone da ginnastica
pantalone_137.png,pantaloncino
pantalone_138.png,pantalone da ginnastica
pantalone_1381.png,pantaloncino
pantalone_139.png,pantalone formale
pantalone_14.png,jeans
pantalone_141.png,pantalone formale
pantalone_142.png,pantalone formale
pantalone_1425.png,jeans
pantalone_1429.png,pantaloncino
pantalone_143.png,pantalone da ginnastica
pantalone_1442.png,pantaloncino
pantalone_1450.png,pantalone da ginnastica
pantalone_146.png,pantalone formale
pantalone_148.png,pantaloncino
pantalone_149.png,pantalone da ginnastica
pantalone_15.png,pantalone formale
pantalone_150.png,pantalone da ginnastica
pantalone_151.png,jeans
pantalone_153.png,pantalone formale
pantalone_1546.png,pantaloncino
pantalone_156.png,pantalone formale
pantalone_1564.png,pantaloncino
pantalone_157.png,pantalone formale
pantalone_158.png,jeans
pantalone_159.png,pantalone formale
pantalone_16.png,pantalone formale
pantalone_160.png,pantalone formale
pantalone_161.png,pantalone formale
pantalone_162.png,jeans
pantalone_163.png,pantalone da ginnastica
pantalone_164.png,pantalone formale
pantalone_165.png,pantalone formale
pantalone_166.png,pantalone da ginnastica
pantalone_167.png,pantalone formale
pantalone_168.png,pantalone formale
pantalone_169.png,pantalone da ginnastica
pantalone_17.png,pantalone formale
pantalone_170.png,salopette lunga
pantalone_171.png,pantalone formale
pantalone_172.png,jeans
pantalone_173.png,pantalone formale
pantalone_174.png,jeans
pantalone_175.png,pantalone da ginnastica
pantalone_176.png,pantalone formale
pantalone_177.png,pantalone da ginnastica
pantalone_178.png,pantalone formale
pantalone_179.png,pantalone formale
pantalone_181.png,jeans
pantalone_182.png,jeans
pantalone_1821.png,salopette lunga
pantalone_183.png,pantalone formale
pantalone_185.png,pantalone formale
pantalone_186.png,pantalone formale
pantalone_187.png,pantalone da ginnastica
pantalone_188.png,pantalone da ginnastica
pantalone_189.png,pantalone formale
pantalone_19.png,pantalone da ginnastica
pantalone_192.png,jeans
pantalone_193.png,jeans
pantalone_194.png,pantalone formale
pantalone_195.png,pantalone da ginnastica
pantalone_196.png,pantalone formale
pantalone_198.png,pantalone formale
pantalone_199.png,pantalone formale
pantalone_2.png,pantalone formale
pantalone_201.png,pantalone formale
pantalone_2015.png,pantaloncino
pantalone_202.png,pantalone formale
pantalone_2029.png,pantaloncino
pantalone_203.png,jeans
pantalone_204.png,pantalone formale
pantalone_205.png,pantalone formale
pantalone_206.png,pantalone formale
pantalone_208.png,pantalone formale
pantalone_209.png,pantalone da ginnastica
pantalone_21.png,pantaloncino
pantalone_210.png,pantalone formale
pantalone_211.png,pantalone da ginnastica
pantalone_212.png,pantalone formale
pantalone_214.png,pantalone formale
pantalone_2142.png,salopette lunga
pantalone_215.png,pantalone formale
pantalone_217.png,pantalone da ginnastica
pantalone_218.png,pantalone formale
pantalone_219.png,pantalone formale
pantalone_22.png,pantalone formale
pantalone_220.png,pantalone formale
pantalone_221.png,pantalone formale
pantalone_222.png,pantalone formale
pantalone_223.png,pantalone da ginnastica
pantalone_224.png,pantalone da ginnastica
pantalone_2248.png,jeans
pantalone_225.png,pantalone da ginnastica
pantalone_226.png,jeans
pantalone_227.png,pantalone formale
pantalone_228.png,pantalone formale
pantalone_229.png,salopette lunga
pantalone_230.png,jeans
pantalone_232.png,pantalone formale
pantalone_233.png,pantalone formale
pantalone_234.png,pantaloncino
pantalone_235.png,pantalone formale
pantalone_236.png,pantalone formale
pantalone_238.png,jeans
pantalone_24.png,pantalone da ginnastica
pantalone_240.png,pantalone formale
pantalone_241.png,pantalone formale
pantalone_242.png,pantalone formale
pantalone_245.png,jeans
pantalone_248.png,pantalone da ginnastica
pantalone_25.png,pantalone da ginnastica
pantalone_250.png,pantalone formale
pantalone_252.png,pantalone formale
pantalone_253.png,pantalone da ginnastica
pantalone_254.png,jeans
pantalone_255.png,pantalone formale
pantalone_256.png,pantalone formale
pantalone_257.png,pantalone da ginnastica
pantalone_258.png,pantalone formale
pantalone_259.png,pantalone formale
pantalone_26.png,pantalone da ginnastica
pantalone_260.png,pantalone formale
pantalone_261.png,pantalone da ginnastica
pantalone_262.png,pantaloncino
pantalone_263.png,pantalone formale
pantalone_264.png,jeans
pantalone_265.png,pantalone formale
pantalone_268.png,pantalone formale
pantalone_271.png,pantalone formale
pantalone_273.png,pantalone formale
pantalone_274.png,pantalone da ginnastica
pantalone_275.png,pantaloncino
pantalone_276.png,jeans
pantalone_277.png,jeans
pantalone_278.png,jeans
pantalone_2788.png,salopette corta
pantalone_279.png,pantalone formale
pantalone_28.png,pantalone formale
pantalone_280.png,pantalone da ginnastica
pantalone_282.png,pantalone formale
pantalone_283.png,pantalone da ginnastica
pantalone_284.png,pantalone da ginnastica
pantalone_2848.png,salopette corta
pantalone_285.png,pantalone formale
pantalone_286.png,pantalone formale
pantalone_2860.png,salopette lunga
pantalone_287.png,pantalone da ginnastica
pantalone_288.png,pantalone formale
pantalone_289.png,pantalone formale
pantalone_290.png,pantalone formale
pantalone_291.png,pantalone da ginnastica
pantalone_292.png,pantaloncino
pantalone_294.png,jeans
pantalone_295.png,jeans
pantalone_297.png,jeans
pantalone_299.png,pantalone formale
pantalone_3.png,pantalone formale
pantalone_30.png,pantalone formale
pantalone_300.png,pantalone formale
pantalone_303.png,jeans
pantalone_304.png,pantaloncino
pantalone_305.png,pantalone formale
pantalone_306.png,salopette corta
pantalone_3075.png,salopette lunga
pantalone_309.png,jeans
pantalone_31.png,pantalone da ginnastica
pantalone_310.png,pantalone formale
pantalone_311.png,pantalone formale
pantalone_312.png,pantaloncino
pantalone_313.png,jeans
pantalone_3134.png,salopette lunga
pantalone_314.png,pantalone formale
pantalone_315.png,pantalone da ginnastica
