file_name,soleggiato,ventoso,piovoso,nevoso,nuvoloso,inverno ,primavera,estate,autunno,professionale,smart casual,casual,elegante,sportivo,glamour
blazer,5,1,1,1,6,1,6,0,4,0,0,0,0,0,0
giacca in pelle,3,3,4,3,4,3,4,0,6,0,0,0,0,0,0
giacchetta,6,2,2,2,5,2,5,0,5,0,0,0,0,0,0
giubbino invernale,1,4,3,6,1,6,1,0,1,0,0,0,0,0,0
giubbino leggero,4,5,6,4,3,4,3,0,3,0,0,0,0,0,0
montgomery,2,6,5,5,2,5,2,0,2,0,0,0,0,0,0
body,4,7,6,5,6,5,6,4,7,5,4,3,5,5,7
camicia a maniche corte,7,4,4,3,7,3,7,7,4,8,10,6,6,4,8
camicia a maniche lunghe,5,9,5,6,9,6,9,5,9,10,8,4,10,1,9
dolce vita,3,10,8,9,3,9,3,3,10,9,7,2,9,3,6
felpa,2,6,10,8,2,8,2,2,6,4,3,7,4,10,3
maglietta a maniche corte,8,3,3,4,8,4,8,8,3,3,6,8,3,9,2
maglietta a maniche lunghe,6,8,7,7,10,7,10,6,8,6,9,5,7,6,4
pullover,1,5,9,10,1,10,1,1,5,7,5,1,8,2,5
tank top,9,2,2,2,5,2,5,9,2,1,1,10,2,8,1
top,10,1,1,1,4,1,4,10,1,2,2,9,1,7,10
jeans,4,6,6,4,6,4,6,4,6,5,6,4,5,3,5
pantaloncino,6,1,1,1,1,1,4,6,1,1,2,6,1,5,4
pantalone da ginnastica,2,3,3,3,5,3,3,2,3,3,1,5,2,6,1
pantalone formale,1,5,5,5,4,5,2,1,5,6,5,1,6,1,6
salopette corta,5,2,2,2,2,2,5,5,2,2,3,3,3,4,2
salopette lunga,3,4,4,6,3,6,1,3,4,4,4,2,4,2,3
mini vestito,7,2,3,2,3,3,8,7,3,2,5,7,2,0,8
mini vestito a bretelle,8,1,1,1,1,1,5,8,1,1,2,8,1,0,7
mini vestito a maniche lunghe,4,4,4,4,8,4,6,4,7,3,6,6,3,0,6
vestito da sera,3,5,5,6,4,5,3,3,4,5,4,2,7,0,5
vestito da sera a maniche lunghe,1,6,6,8,5,8,1,1,5,6,1,1,8,0,1
vestito intero,5,7,7,5,7,6,7,5,8,7,8,4,5,0,4
vestito intero a bretelle,6,3,2,3,2,2,4,6,2,4,3,5,4,0,2
vestito intero a maniche lunghe,2,8,8,7,6,7,2,2,6,8,7,3,6,0,3
ciabatte,8,1,1,1,1,1,2,8,1,1,2,8,1,7,2
sandali classici,7,3,2,2,2,2,8,7,2,2,4,6,4,3,5
sandali con tacco,6,2,3,3,3,3,7,6,3,5,8,2,7,2,8
scarpe da ginnastica,5,5,4,4,8,4,6,5,4,4,3,7,2,8,3
stivaletti,4,8,7,5,7,6,5,4,7,7,7,5,6,6,6
stivali,2,7,8,7,6,7,3,2,8,6,5,4,5,5,4
stivali con tacco,3,6,6,6,5,5,4,3,6,8,6,1,8,1,7
stivali invernali,1,4,5,8,4,8,1,1,5,3,1,3,3,4,1
