filename,label,macroetichetta
armadio 2/ankle_boot_1275.png,stivali con tacco,scarpe
armadio 2/ankle_boot_1288.png,stivali,scarpe
armadio 2/ankle_boot_1382.png,stivali invernali,scarpe
armadio 2/ankle_boot_2131.png,stivaletti,scarpe
armadio 2/coat_1.png,giacchetta,Giubbini
armadio 2/coat_1262.png,blazer,Giubbini
armadio 2/coat_549.png,giacca in pelle,Giubbini
armadio 2/dress_1769.png,vestito intero a maniche lunghe,vestiti
armadio 2/dress_1848.png,vestito da sera,vestiti
armadio 2/dress_1854.png,mini vestito a maniche lunghe,vestiti
armadio 2/dress_5003.png,mini vestito a bretelle,vestiti
armadio 2/pantalone_1246.png,pantalone formale,pantaloni
armadio 2/pantalone_1393.png,pantaloncino,pantaloni
armadio 2/pantalone_1966.png,pantaloncino,pantaloni
armadio 2/pantalone_2017.png,pantaloncino,pantaloni
armadio 2/pantalone_2120.png,jeans,pantaloni
armadio 2/pantalone_2206.png,pantaloncino,pantaloni
armadio 2/pantalone_2392.png,pantalone da ginnastica,pantaloni
armadio 2/pullover_1756.png,dolce vita,magliette
armadio 2/pullover_1797.png,felpa,magliette
armadio 2/pullover_1804.png,pullover,magliette
armadio 2/sandal_1119.png,sandali con tacco,scarpe
armadio 2/sandal_1133.png,sandali con tacco,scarpe
armadio 2/sandal_1178.png,sandali con tacco,scarpe
armadio 2/sandal_1412.png,ciabatte,scarpe
armadio 2/shirt_2144.png,camicia a maniche lunghe,magliette
armadio 2/shirt_2226.png,camicia a maniche lunghe,magliette
armadio 2/shirt_2438.png,camicia a maniche corte,magliette
armadio 2/shirt_3049.png,camicia a maniche corte,magliette
armadio 2/sneaker_813.png,scarpe da ginnastica,scarpe
armadio 2/sneaker_819.png,scarpe da ginnastica,scarpe
armadio 2/sneaker_824.png,scarpe da ginnastica,scarpe
armadio 2/tshirt_1347.png,maglietta a maniche corte,magliette
armadio 2/tshirt_1431.png,maglietta a maniche corte,magliette
armadio 2/tshirt_2202.png,top,magliette
armadio 2/tshirt_2544.png,maglietta a maniche lunghe,magliette
armadio 2/tshirt_3325.png,pullover,magliette
armadio 2/tshirt_4218.png,maglietta a maniche lunghe,magliette
